Significant Wave Height (m),Peak Wave Period (s),Mean Spring Tidal Range (m),Extreme Storm Surge (m),Beach Width (m),Beach Face Slope (-),Median Grain Size D50 (mm),Dune Crest Elevation (m),Nearshore Bathymetric Slope (-),Historical Shoreline Change Rate (m/yr),Sediment Budget Balance (m3/m/yr),Vegetation Cover (%),Relative Sea-Level Rise (mm/yr),Coastal Erosion Risk Class
1.82,10.47,0.67,1.08,30.02,0.0349,0.62,4.33,0.0411,-2.76,-12.96,0.0,NaN,High Susceptibility
2.71,12.4,1.59,1.45,107.12,0.0268,0.28,9.61,0.0242,0.47,0.97,70.2,4.1,Stable or Accreting
2.49,12.41,0.34,1.48,91.23,0.0189,0.233,6.63,0.0215,NaN,7.4,63.1,3.35,Stable or Accreting
0.9,6.6,0.91,1.27,109.8,0.0456,0.735,9.22,0.0387,1.19,5.32,NaN,3.49,Stable or Accreting
1.69,12.54,2.21,1.22,99.02,0.0448,0.466,9.99,0.0365,NaN,3.22,51.2,3.26,Low Susceptibility
2.79,14.25,0.9,1.44,NaN,NaN,0.711,4.63,0.0489,-0.09,-0.71,23.0,2.68,Moderate Susceptibility
2.04,9.89,0.77,1.64,21.56,0.0181,0.165,2.67,0.0202,-5.17,NaN,0.0,NaN,Critical Erosion Hotspot
2.9,12.06,0.37,1.54,56.74,0.0347,0.568,NaN,0.0319,-0.5,-1.97,28.6,5.61,Moderate Susceptibility
0.63,8.43,0.55,1.02,NaN,0.0391,0.335,3.05,0.0308,-0.75,-5.21,27.4,5.48,Low Susceptibility
NaN,11.47,4.19,1.2,NaN,0.0388,0.335,4.99,0.0265,-0.39,3.57,31.0,4.66,Moderate Susceptibility
1.85,10.9,3.73,1.35,NaN,0.015,0.226,3.25,0.0142,NaN,12.01,NaN,2.53,Low Susceptibility
1.67,11.54,0.6,1.31,51.3,0.0305,0.179,5.24,0.0201,-0.87,1.6,31.4,6.26,Moderate Susceptibility
