Observation Date,Daily Rainfall (mm),Antecedent 3-Day Rainfall (mm),Antecedent 7-Day Rainfall (mm),Groundwater Depth Below Ground Surface (m),Piezometric Head Above Slip Surface (m),Volumetric Water Content (%),Matric Suction (kPa),Pore Pressure Ratio ru (-),Surface Displacement Rate (mm/day),7-Day Cumulative Surface Displacement (mm),Inclinometer Shear Zone Movement Rate (mm/day),Extensometer Extension Rate (mm/day),Slope Stability Alert Level
2022-01-01,0.0,0.0,0.0,8.82,0.0,21.64,42.66,0.064,0.024,0.024,0.019,0.0,Normal
2022-01-02,0.0,0.0,0.0,NaN,0.0,18.78,49.34,0.02,0.033,0.057,0.0,0.153,Normal
2022-01-03,0.0,0.0,NaN,8.09,0.0,19.75,53.18,0.02,0.047,0.104,0.01,0.031,Normal
2022-01-04,NaN,0.0,0.0,9.09,0.0,19.9,49.3,0.02,NaN,0.155,0.064,0.0,Normal
2022-01-05,58.14,58.14,58.14,5.61,0.0,NaN,37.26,0.15,0.025,0.18,0.09,NaN,Watch
2022-01-06,0.0,58.14,58.14,5.46,0.0,23.75,44.58,0.142,0.01,0.19,NaN,0.109,Watch
2022-01-07,0.0,58.14,58.14,6.09,0.0,23.22,38.23,0.184,0.01,0.2,0.0,0.112,Watch
2022-01-08,0.0,0.0,58.14,6.26,0.0,20.83,44.56,0.087,0.027,0.203,0.107,0.041,Watch
2022-01-09,0.0,0.0,58.14,8.23,0.0,NaN,47.68,0.122,0.01,0.18,0.051,0.086,Watch
2022-01-10,0.0,0.0,58.14,6.09,0.0,21.43,NaN,NaN,0.033,0.166,0.007,0.029,Watch
2022-01-11,0.0,0.0,58.14,5.47,0.0,22.04,47.91,0.115,0.055,0.17,0.0,0.056,Watch
2022-01-12,0.0,0.0,0.0,8.89,0.0,18.16,52.23,0.021,0.07,0.215,0.0,0.03,Normal
2022-01-13,0.0,0.0,0.0,7.24,0.0,20.23,56.6,0.067,0.037,0.242,0.103,0.102,Normal
2022-01-14,0.0,0.0,0.0,8.62,0.0,20.86,51.39,0.02,0.063,0.295,0.082,0.059,Normal
2022-01-15,29.83,29.83,29.83,7.29,NaN,19.17,50.16,0.102,NaN,0.307,NaN,0.086,Elevated
2022-01-16,0.0,NaN,29.83,7.83,0.0,19.27,50.7,0.024,0.01,0.307,NaN,0.24,Elevated
2022-01-17,0.0,29.83,NaN,8.03,0.0,19.89,46.02,0.084,0.01,0.284,0.0,0.035,Elevated
2022-01-18,0.0,0.0,29.83,6.99,0.0,20.59,NaN,0.073,0.028,NaN,0.072,0.058,Elevated
2022-01-19,0.0,0.0,29.83,7.26,0.0,19.04,51.0,0.04,0.081,0.268,NaN,0.01,Elevated
2022-01-20,0.0,0.0,29.83,6.86,0.0,21.81,47.31,0.021,0.036,0.267,0.0,0.025,Elevated
2022-01-21,4.71,4.71,34.54,6.4,0.0,20.5,47.96,0.096,0.01,0.214,0.07,0.0,Elevated
2022-01-22,0.0,4.71,4.71,8.66,0.0,18.85,49.71,0.045,0.018,0.193,0.0,NaN,Normal
2022-01-23,0.0,4.71,4.71,7.54,0.0,16.5,52.18,0.031,0.01,0.193,0.003,0.005,Normal
2022-01-24,0.0,0.0,4.71,NaN,NaN,16.7,60.18,0.044,NaN,0.194,0.064,0.021,Normal
2022-01-25,21.25,21.25,25.96,6.71,0.0,20.86,41.62,0.173,NaN,0.176,0.017,0.138,Elevated
2022-01-26,9.95,31.19,35.9,7.38,0.0,17.27,52.15,0.139,0.024,0.119,0.073,0.176,Elevated
2022-01-27,0.0,31.19,35.9,8.29,0.0,22.05,42.89,0.14,NaN,0.112,NaN,0.125,Elevated
2022-01-28,0.0,9.95,31.19,6.37,0.0,19.61,47.19,NaN,NaN,0.113,0.003,0.0,Elevated
2022-01-29,0.0,0.0,31.19,5.99,0.0,24.97,41.5,0.065,0.01,0.105,0.047,0.0,Elevated
2022-01-30,0.0,0.0,31.19,7.19,0.0,23.49,42.07,0.02,0.053,0.148,0.044,0.023,Elevated
2022-01-31,16.89,16.89,48.08,6.52,0.0,NaN,47.1,0.065,NaN,0.155,0.016,0.009,Elevated
2022-02-01,0.0,16.89,26.83,7.6,0.0,19.49,52.71,0.06,0.012,NaN,0.0,0.085,Elevated
2022-02-02,0.0,16.89,16.89,7.55,0.0,20.92,49.19,NaN,0.065,0.198,0.022,0.0,Normal
