Shoreline Segment ID,Observation Date,Significant Wave Height (m),Peak Wave Period (s),Mean Spring Tidal Range (m),Monthly Peak Storm Surge (m),Beach Width (m),Beach Face Slope (-),Median Grain Size D50 (mm),Dune Crest Elevation (m),Nearshore Bathymetric Slope (-),Monthly Sediment Budget Balance (m3/m/month),Vegetation Cover (%),Previous Month Shoreline Position Change (m),Relative Sea-Level Rise (mm/yr),Monthly Coastal Erosion Condition Class
DSC-09,2022-01-01,1.364,7.435,0.873,0.991,12.648,0.0251,0.228,3.066,0.0051,-1.001,21.6,0.007,5.08,Mild Erosion Pressure
DSC-09,2022-02-01,1.074,7.99,0.873,0.913,12.322,0.0321,0.228,3.03,0.0051,-0.345,23.5,-0.448,5.08,Mild Erosion Pressure
DSC-09,2022-03-01,1.058,7.21,NaN,0.757,11.095,0.0296,0.228,2.994,0.0051,NaN,21.8,-0.483,5.08,Mild Erosion Pressure
DSC-09,2022-04-01,0.884,7.229,0.873,0.764,10.395,0.0287,0.228,3.031,0.0051,-0.675,NaN,-0.553,5.08,Mild Erosion Pressure
DSC-09,2022-05-01,1.188,NaN,0.873,0.876,8.442,0.0302,0.228,3.05,NaN,0.543,18.9,-0.616,5.08,Mild Erosion Pressure
DSC-09,2022-06-01,0.788,6.61,0.873,NaN,8.0,0.0321,0.228,3.139,0.0051,0.239,17.6,-0.556,5.08,Mild Erosion Pressure
DSC-09,2022-07-01,1.016,7.301,0.873,0.754,8.0,0.0283,0.228,3.137,0.0051,0.705,17.8,-0.396,5.08,Mild Erosion Pressure
DSC-09,2022-08-01,0.905,7.616,0.873,0.875,8.594,0.0289,0.228,NaN,0.0051,0.317,17.0,-0.178,5.08,Mild Erosion Pressure
DSC-09,2022-09-01,1.12,7.291,0.873,NaN,NaN,0.0297,0.228,3.127,0.0051,-0.292,19.3,-0.202,5.08,Mild Erosion Pressure
DSC-09,2022-10-01,1.268,7.682,0.873,0.768,8.347,0.0283,0.228,3.126,0.0051,-0.699,18.5,-0.196,NaN,Mild Erosion Pressure
DSC-09,2022-11-01,1.305,7.926,0.873,0.872,8.0,0.0272,0.228,NaN,0.0051,-0.821,20.1,NaN,5.08,Active Erosion
DSC-09,2022-12-01,1.316,NaN,0.873,0.935,8.0,0.0305,0.228,3.172,0.0051,-0.01,20.0,-0.702,5.08,Mild Erosion Pressure
DSC-09,2023-01-01,1.636,8.746,0.873,1.086,8.0,0.0273,0.228,3.161,0.0051,-1.309,18.3,-0.469,5.08,Active Erosion
