Building_Scenario_ID,Days_After_Event,Structural_System,Occupancy_Type,Number_of_Stories,Construction_Year,Seismic_Design_Level,Site_Class,Retrofit_Level,Peak_Ground_Acceleration_g,Spectral_Acceleration_1p0s_g,Initial_Residual_Drift_Ratio_pct,Safety_Inspection_Completion_pct,Utility_Availability_pct,Structural_Repair_Completion_pct,Nonstructural_Repair_Completion_pct,Operability_Class
B001,0,RC_Shear_Wall,Office,14.0,1994.0,High_Code,D,Partial_Retrofit,0.432,0.658,0.083,0.4,50.8,0.0,4.6,Unsafe_Closed
B001,1,RC_Shear_Wall,Office,14.0,1994.0,High_Code,D,Partial_Retrofit,0.432,0.658,0.083,2.4,58.9,1.4,0.1,Unsafe_Closed
B001,3,RC_Shear_Wall,Office,14.0,1994.0,High_Code,D,Partial_Retrofit,NaN,0.658,0.083,11.2,64.0,3.4,9.3,Restricted_Access
B001,7,RC_Shear_Wall,NaN,14.0,1994.0,High_Code,D,Partial_Retrofit,0.432,0.658,0.083,37.0,NaN,5.9,1.8,Restricted_Access
B001,14,RC_Shear_Wall,Office,14.0,1994.0,High_Code,D,Partial_Retrofit,0.432,0.658,0.083,95.3,90.3,5.0,1.0,Reoccupancy
B001,30,NaN,Office,14.0,1994.0,High_Code,D,Partial_Retrofit,0.432,0.658,0.083,100.0,100.0,7.5,10.6,Reoccupancy
B001,60,RC_Shear_Wall,Office,14.0,1994.0,High_Code,D,Partial_Retrofit,0.432,NaN,0.083,100.0,94.0,21.8,32.9,Reoccupancy
B001,90,RC_Shear_Wall,Office,14.0,1994.0,High_Code,D,Partial_Retrofit,0.432,0.658,0.083,100.0,96.5,57.1,69.9,Functional_Recovery
B001,120,RC_Shear_Wall,Office,14.0,1994.0,NaN,D,Partial_Retrofit,0.432,0.658,NaN,100.0,100.0,85.0,93.7,Functional_Recovery
B001,180,RC_Shear_Wall,Office,NaN,1994.0,High_Code,D,Partial_Retrofit,0.432,0.658,0.083,99.4,94.9,95.3,96.6,Full_Recovery
B001,240,RC_Shear_Wall,Office,14.0,1994.0,NaN,D,Partial_Retrofit,0.432,NaN,0.083,NaN,98.3,100.0,100.0,Full_Recovery
B001,365,RC_Shear_Wall,Office,14.0,1994.0,High_Code,D,Partial_Retrofit,0.432,0.658,0.083,NaN,98.5,98.9,95.8,Full_Recovery
B002,0,RC_Moment_Frame,Residential,NaN,NaN,Pre_Code,C,No_Retrofit,0.195,0.275,0.007,NaN,69.4,4.0,0.0,Unsafe_Closed
B002,1,RC_Moment_Frame,Residential,10.0,1971.0,Pre_Code,C,No_Retrofit,0.195,0.275,0.007,5.2,78.0,0.0,3.2,Unsafe_Closed
B002,3,RC_Moment_Frame,Residential,10.0,1971.0,Pre_Code,C,No_Retrofit,0.195,0.275,0.007,20.3,81.1,0.5,2.9,Restricted_Access
B002,7,RC_Moment_Frame,Residential,10.0,1971.0,Pre_Code,C,No_Retrofit,0.195,0.275,0.007,87.9,85.0,3.0,4.1,Reoccupancy
B002,14,RC_Moment_Frame,Residential,10.0,1971.0,Pre_Code,C,No_Retrofit,0.195,0.275,0.007,100.0,100.0,NaN,13.2,Reoccupancy
B002,30,NaN,Residential,10.0,1971.0,Pre_Code,C,No_Retrofit,0.195,0.275,0.007,NaN,100.0,11.5,38.0,Reoccupancy
B002,60,RC_Moment_Frame,Residential,10.0,1971.0,Pre_Code,C,No_Retrofit,0.195,0.275,0.007,100.0,100.0,38.3,100.0,Functional_Recovery
B002,90,RC_Moment_Frame,Residential,10.0,1971.0,Pre_Code,C,No_Retrofit,0.195,0.275,0.007,100.0,96.7,61.5,NaN,Functional_Recovery
B002,120,RC_Moment_Frame,Residential,10.0,1971.0,Pre_Code,C,No_Retrofit,0.195,0.275,0.007,100.0,99.4,87.1,94.1,Functional_Recovery
B002,180,RC_Moment_Frame,Residential,NaN,1971.0,Pre_Code,C,No_Retrofit,NaN,0.275,0.007,100.0,100.0,100.0,98.3,Full_Recovery
B002,240,RC_Moment_Frame,Residential,10.0,1971.0,Pre_Code,C,No_Retrofit,0.195,0.275,NaN,97.8,100.0,97.5,100.0,Full_Recovery
B002,365,RC_Moment_Frame,Residential,10.0,1971.0,Pre_Code,C,NaN,0.195,0.275,0.007,100.0,NaN,99.9,97.7,Full_Recovery
B003,0,RC_Moment_Frame,Retail,13.0,2006.0,High_Code,D,No_Retrofit,0.224,0.43,0.066,0.0,65.1,7.0,0.8,Unsafe_Closed
B003,1,RC_Moment_Frame,Retail,13.0,2006.0,High_Code,D,No_Retrofit,0.224,0.43,0.066,1.8,59.4,3.8,0.2,Unsafe_Closed
B003,3,RC_Moment_Frame,Retail,13.0,2006.0,High_Code,D,No_Retrofit,0.224,0.43,0.066,15.8,76.2,2.3,4.1,Restricted_Access
B003,7,RC_Moment_Frame,Retail,13.0,2006.0,High_Code,D,No_Retrofit,0.224,0.43,0.066,61.8,76.5,NaN,1.5,Restricted_Access
B003,14,RC_Moment_Frame,Retail,NaN,2006.0,NaN,D,No_Retrofit,NaN,0.43,0.066,99.2,89.7,2.4,NaN,Reoccupancy
B003,30,RC_Moment_Frame,Retail,13.0,2006.0,High_Code,D,NaN,0.224,0.43,0.066,99.5,95.9,6.2,16.5,Reoccupancy
