Flood_Event_ID,Facility_ID,Observation_Date,Day_Since_Event,Occupancy_Type,Foundation_Type,Gross_Floor_Area_m2,Peak_Inundation_Depth_above_Grade_m,Flood_Duration_hr,Flow_Velocity_m_per_s,Structural_Condition_Index,First_Floor_Elevation_above_Grade_m,Flood_Damage_Resistant_Materials_Share_pct,Contractor_Crew_Availability_pct,Utility_Service_Availability_pct,Drying_and_Cleanup_Progress_pct,Functional_Recovery_Ratio_pct
EVT01,FAC001,2023-08-11,0,Retail,Slab-on-grade,3339.6,NaN,48.4,1.01,90.3,0.24,34.3,8.1,27.4,14.6,47.38
EVT01,FAC001,2023-08-12,1,Retail,Slab-on-grade,NaN,2.6,48.4,1.01,90.3,0.24,34.3,11.3,38.2,17.8,47.38
EVT01,FAC001,2023-08-13,2,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,11.5,49.2,17.1,47.38
EVT01,FAC001,2023-08-14,3,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,17.2,48.0,22.2,47.38
EVT01,FAC001,2023-08-15,4,Retail,Slab-on-grade,NaN,2.6,48.4,1.01,90.3,0.24,34.3,20.4,43.2,20.1,47.38
EVT01,FAC001,2023-08-16,5,NaN,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,26.4,58.0,30.5,47.54
EVT01,FAC001,2023-08-17,6,Retail,Slab-on-grade,3339.6,2.6,NaN,1.01,90.3,NaN,34.3,30.7,66.4,28.8,47.69
EVT01,FAC001,2023-08-18,7,Retail,NaN,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,30.7,72.3,32.6,48.01
EVT01,FAC001,2023-08-19,8,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,38.3,74.2,35.9,49.0
EVT01,FAC001,2023-08-20,9,Retail,Slab-on-grade,3339.6,2.6,48.4,NaN,90.3,0.24,NaN,40.5,NaN,NaN,49.48
EVT01,FAC001,2023-08-21,10,Retail,Slab-on-grade,3339.6,2.6,NaN,1.01,90.3,0.24,34.3,50.3,84.2,NaN,50.82
EVT01,FAC001,2023-08-22,11,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,49.2,87.2,55.0,53.85
EVT01,FAC001,2023-08-23,12,NaN,Slab-on-grade,3339.6,NaN,48.4,1.01,90.3,0.24,34.3,51.7,83.9,56.4,53.85
EVT01,FAC001,2023-08-24,13,Retail,Slab-on-grade,3339.6,2.6,48.4,NaN,90.3,0.24,34.3,51.9,90.0,59.2,56.55
EVT01,FAC001,2023-08-25,14,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,NaN,92.8,60.2,58.72
EVT01,FAC001,2023-08-26,15,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,56.9,95.5,66.4,61.47
EVT01,FAC001,2023-08-27,16,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,NaN,0.24,34.3,59.2,90.7,74.3,63.9
EVT01,FAC001,2023-08-28,17,Retail,Slab-on-grade,3339.6,NaN,NaN,1.01,90.3,0.24,34.3,62.7,92.7,75.0,65.89
EVT01,FAC001,2023-08-29,18,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,57.9,93.7,70.7,67.3
EVT01,FAC001,2023-08-30,19,Retail,Slab-on-grade,3339.6,NaN,48.4,1.01,90.3,0.24,34.3,63.9,88.6,NaN,67.79
EVT01,FAC001,2023-08-31,20,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,56.9,96.0,84.6,69.78
EVT01,FAC001,2023-09-01,21,Retail,Slab-on-grade,3339.6,2.6,NaN,1.01,90.3,0.24,34.3,62.6,90.5,83.3,70.75
EVT01,FAC001,2023-09-02,22,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,NaN,34.3,64.2,98.3,84.6,73.81
EVT01,FAC001,2023-09-03,23,NaN,NaN,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,69.1,97.4,84.1,75.49
EVT01,FAC001,2023-09-04,24,Retail,Slab-on-grade,3339.6,2.6,48.4,NaN,90.3,0.24,34.3,62.7,85.5,83.7,75.58
EVT01,FAC001,2023-09-05,25,NaN,Slab-on-grade,NaN,2.6,48.4,1.01,90.3,0.24,34.3,64.0,92.7,89.4,77.73
EVT01,FAC001,2023-09-06,26,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,55.4,98.8,89.9,77.73
EVT01,FAC001,2023-09-07,27,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,68.5,93.2,78.9,79.38
EVT01,FAC001,2023-09-08,28,Retail,NaN,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,58.4,94.1,91.1,80.78
EVT01,FAC001,2023-09-09,29,Retail,Slab-on-grade,NaN,2.6,48.4,1.01,NaN,0.24,34.3,55.8,96.3,86.6,81.51
EVT01,FAC001,2023-09-10,30,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,65.1,NaN,87.1,81.68
EVT01,FAC001,2023-09-11,31,Retail,Slab-on-grade,NaN,2.6,48.4,1.01,90.3,0.24,34.3,59.6,95.7,85.4,82.26
EVT01,FAC001,2023-09-12,32,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,57.9,86.0,87.1,82.78
EVT01,FAC001,2023-09-13,33,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,34.3,59.7,96.0,87.4,82.78
EVT01,FAC001,2023-09-14,34,Retail,Slab-on-grade,3339.6,2.6,48.4,1.01,90.3,0.24,NaN,68.1,NaN,88.5,83.85
EVT01,FAC002,2023-08-11,0,Retail,Raised slab,2731.1,1.6,56.6,1.39,70.9,0.66,46.3,10.3,41.2,13.9,51.94
EVT01,FAC002,2023-08-12,1,Retail,Raised slab,2731.1,1.6,56.6,1.39,70.9,0.66,46.3,16.9,51.2,17.3,52.39
EVT01,FAC002,2023-08-13,2,NaN,Raised slab,NaN,1.6,NaN,1.39,70.9,0.66,NaN,27.4,51.1,15.0,52.39
EVT01,FAC002,2023-08-14,3,Retail,Raised slab,2731.1,1.6,56.6,NaN,70.9,0.66,46.3,22.7,59.2,27.9,52.39
EVT01,FAC002,2023-08-15,4,NaN,Raised slab,2731.1,1.6,NaN,1.39,70.9,0.66,46.3,31.7,54.7,25.6,52.39
